id,name,key,promokey,price,orgaPrice,available,categoryId
1,Coca,coca,,60,60,1,1
2,Coca Zero,cocazero,,60,60,1,1
3,Fuze Tea pêche,fuzeteapêche,,60,60,1,1
4,Fanta Orange,fantaorange,,60,60,1,1
5,Fanta Fruit du dragon,fantafruitdudragon,,60,60,1,1
6,Oasis PCF,oasispcf,,60,60,1,1
7,Oasis Tropical,oasistropical,,60,60,1,1
8,Schweppes agrumes,schweppesagrumes,,60,60,1,1
9,Crêpe Nutella,crepenutella,crepe,50,50,1,2
10,Crêpe Sucre,crepesucre,crepe,50,50,1,2
11,Crêpe confiture,crepeconfiture,crepe,50,50,1,2
12,Croque 3 fromages ,croque3fromages ,croque,100,100,1,3
13,Croque Tomate Mozza,croquetomatemozza,croque,100,100,1,3
14,Croque Chèvre miel,croquechevremiel,croque,100,100,1,3
15,Croque Jambon fromage ,croquejambonfromage,croque,100,100,1,3
16,Hot-dog,hotdog,,100,100,1,4
17,Hot-dog végé,hotdogvg,,100,100,1,4
